track_id,artist_id,role
TR000001,ART04205421,Main
TR000001,ART76284946,Featured
TR000001,ART04141409,Featured
TR000002,ART04205421,Main
TR000002,ART_NEW_0001,Featured
TR000003,ART04205421,Main
TR000003,ART61734477,Featured
TR000003,ART_NEW_0002,Featured
TR000004,ART04205421,Main
TR000004,ART_NEW_0003,Featured
TR000005,ART04205421,Main
TR000005,ART89596800,Featured
TR000006,ART04205421,Main
TR000007,ART04205421,Main
TR000008,ART04205421,Main
TR000008,ART46851094,Featured
TR000009,ART04205421,Main
TR000010,ART04205421,Main
TR000011,ART04205421,Main
TR000012,ART04205421,Main
TR000013,ART04205421,Main
TR000014,ART04205421,Main
TR000015,ART04205421,Main
TR000016,ART04205421,Main
TR000017,ART04205421,Main
TR000017,ART_NEW_0004,Featured
TR000018,ART04205421,Main
TR000018,ART_NEW_0005,Featured
TR000019,ART04205421,Main
TR000020,ART04205421,Main
TR000021,ART04205421,Main
TR000022,ART04205421,Main
TR000023,ART04205421,Main
TR000024,ART04205421,Main
TR000025,ART04205421,Main
TR000026,ART04205421,Main
TR000027,ART04205421,Main
TR000028,ART04205421,Main
TR000029,ART04205421,Main
TR000030,ART04205421,Main
TR000031,ART04205421,Main
TR000032,ART04205421,Main
TR000032,ART_NEW_0006,Featured
TR000033,ART04205421,Main
TR000034,ART04205421,Main
TR000035,ART04205421,Main
TR000036,ART04205421,Main
TR000037,ART04205421,Main
TR000038,ART04205421,Main
TR000039,ART04205421,Main
TR000040,ART04205421,Main
TR000041,ART04205421,Main
TR000042,ART04205421,Main
TR000042,ART_NEW_0007,Featured
TR000043,ART04205421,Main
TR000044,ART04205421,Main
TR000045,ART04205421,Main
TR000045,ART_NEW_0008,Featured
TR000046,ART04205421,Main
TR000047,ART04205421,Main
TR000048,ART04205421,Main
TR000049,ART04205421,Main
TR000050,ART04205421,Main
TR000051,ART04205421,Main
TR000052,ART04205421,Main
TR000053,ART04205421,Main
TR000054,ART04205421,Main
TR000055,ART04205421,Main
TR000056,ART04205421,Main
TR000057,ART04205421,Main
TR000058,ART04205421,Main
TR000059,ART04205421,Main
TR000059,ART_NEW_0009,Featured
TR000060,ART04205421,Main
TR000061,ART04205421,Main
TR000062,ART04205421,Main
TR000063,ART04205421,Main
TR000064,ART04205421,Main
TR000065,ART04205421,Main
TR000066,ART04205421,Main
TR000066,ART_NEW_0010,Featured
TR000067,ART04205421,Main
TR000067,ART_NEW_0011,Featured
TR000067,ART_NEW_0008,Featured
TR000067,ART_NEW_0006,Featured
TR000068,ART04205421,Main
TR000069,ART04205421,Main
TR000070,ART04205421,Main
TR000071,ART19605256,Main
TR000072,ART19605256,Main
TR000073,ART19605256,Main
TR000073,ART39344115,Featured
TR000074,ART19605256,Main
TR000075,ART19605256,Main
TR000076,ART19605256,Main
TR000077,ART19605256,Main
TR000078,ART19605256,Main
TR000079,ART19605256,Main
TR000080,ART19605256,Main
TR000081,ART19605256,Main
TR000082,ART19605256,Main
TR000083,ART19605256,Main
TR000084,ART19605256,Main
TR000085,ART19605256,Main
TR000086,ART19605256,Main
TR000087,ART19605256,Main
TR000088,ART19605256,Main
TR000089,ART19605256,Main
TR000090,ART19605256,Main
TR000091,ART19605256,Main
TR000092,ART19605256,Main
TR000092,ART_NEW_0012,Featured
TR000093,ART19605256,Main
TR000093,ART_NEW_0013,Featured
TR000094,ART19605256,Main
TR000095,ART19605256,Main
TR000095,ART57587384,Featured
TR000096,ART19605256,Main
TR000096,ART_NEW_0014,Featured
TR000097,ART19605256,Main
TR000097,ART_NEW_0015,Featured
TR000098,ART19605256,Main
TR000098,ART43601431,Featured
TR000099,ART19605256,Main
TR000099,ART_NEW_0016,Featured
TR000100,ART19605256,Main
TR000101,ART19605256,Main
TR000102,ART19605256,Main
TR000103,ART19605256,Main
