region;streams_local;streams_tot_mood;mood;streams_others;ratio
Sicilia;1864199;53619274;Lo-Fi Hip Hop/Chill Rap;51755075;3,6019636721616191E-2
Toscana;10810;53619274;Lo-Fi Hip Hop/Chill Rap;53608464;2,0164726226813736E-4
Veneto;2750075;53619274;Lo-Fi Hip Hop/Chill Rap;50869199;5,4061692616783688E-2
;2056578;33742820;Trap/Drill;31686242;6,4904446541814584E-2
Calabria;75808;33742820;Trap/Drill;33667012;2,2516996756350104E-3
Campania;2485724;33742820;Trap/Drill;31257096;7,9525110074205235E-2
Emilia-Romagna;62312;33742820;Trap/Drill;33680508;1,8500908596746819E-3
Lazio;5396793;33742820;Trap/Drill;28346027;0,19038975021084967
Liguria;1009891;33742820;Trap/Drill;32732929;0,03085244830977393
Lombardia;9562331;33742820;Trap/Drill;24180489;0,39545647732765038
Marche;1384845;33742820;Trap/Drill;32357975;4,2797641076118019E-2
Piemonte;1212642;33742820;Trap/Drill;32530178;3,7277447421283708E-2
Puglia;1750199;33742820;Trap/Drill;31992621;5,4706333688634014E-2
Sardegna;2785205;33742820;Trap/Drill;30957615;8,9968332508818916E-2
Sicilia;3586516;33742820;Trap/Drill;30156304;0,11893088755173711
Trentino-Alto Adige;10204;33742820;Trap/Drill;33732616;3,0249655111243078E-4
Veneto;2363772;33742820;Trap/Drill;31379048;7,5329627590996387E-2
