sound_id,bpm,rolloff,flux,rms,flatness,spectral_complexity,pitch,loudness,mood
9166,91.98,1619.6803,1.3389,0.2408,0.912,27.2841,2002.9992,26.0713,Introspective Rap
9167,85.96,1059.0328,1.3149,0.2195,0.9668,21.0211,2392.4485,22.8564,Lo-Fi Hip Hop/Chill Rap
9168,172.27,1611.4928,1.3787,0.2355,0.9097,32.0804,2536.292,25.2407,Lo-Fi Hip Hop/Chill Rap
9169,89.78,1274.7528,1.0282,0.0916,0.8684,14.6932,1504.7599,7.5054,Cloud Rap/Experimental
9170,172.26,1615.2015,1.3707,0.1664,0.9137,23.4967,2404.2242,15.9587,Introspective Rap
9171,99.01,1794.6641,1.362,0.27,0.9225,26.8845,2080.2538,30.1127,Cloud Rap/Experimental
9172,97.02,1357.2627,1.1644,0.2837,0.911,22.9802,2701.0287,32.971,Cloud Rap/Experimental
9173,95.26,1447.8484,1.1114,0.1902,0.8711,27.7287,2396.0336,20.4415,Lo-Fi Hip Hop/Chill Rap
9174,108.86,2398.4141,1.2751,0.1411,0.8343,29.5651,2013.3644,12.8951,Lo-Fi Hip Hop/Chill Rap
9175,94.74,1810.8195,1.3868,0.1972,0.9004,31.6651,2843.5104,19.851,Introspective Rap
9176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cloud Rap/Experimental
9177,94.95,1351.5577,1.2042,0.0821,0.2448,18.3439,2207.2308,6.485,Introspective Rap
9178,161.88,2855.8162,1.2681,0.0725,0.7544,10.5013,2689.7619,6.0979,Trap/Drill
9179,127.97,1396.951,1.2651,0.2099,0.9512,35.3114,2671.266,21.8177,Introspective Rap
9180,162.22,988.4781,1.0846,0.2466,0.8829,33.7391,1801.2735,27.1311,Introspective Rap
9181,88.97,2050.714,1.1489,0.1743,0.9004,27.8123,2200.2095,16.9319,Lo-Fi Hip Hop/Chill Rap
9182,95.0,1505.1086,1.3623,0.1172,0.9539,21.878,2005.7467,9.6318,Lo-Fi Hip Hop/Chill Rap
